seq,size,mode,warmup,mean_s,std_s
64,small,fwd,0,0.046939,0.089415
64,small,fwd,1,0.011780,0.000373
64,small,fwd,2,0.011911,0.000141
64,small,fwd,5,0.012407,0.000078
64,small,fwd_bwd,0,0.075940,0.118272
64,small,fwd_bwd,1,0.035718,0.002218
64,small,fwd_bwd,2,0.033815,0.001912
64,small,fwd_bwd,5,0.033988,0.001924
64,medium,fwd,0,0.051854,0.088628
64,medium,fwd,1,0.024274,0.001859
64,medium,fwd,2,0.022924,0.000304
64,medium,fwd,5,0.023489,0.000295
64,medium,fwd_bwd,0,0.108982,0.124529
64,medium,fwd_bwd,1,0.067042,0.004073
64,medium,fwd_bwd,2,0.074686,0.003806
64,medium,fwd_bwd,5,0.066465,0.002616
64,large,fwd,0,0.063147,0.089538
64,large,fwd,1,0.034409,0.000229
64,large,fwd,2,0.034864,0.000542
64,large,fwd,5,0.035753,0.001956
64,large,fwd_bwd,0,0.154273,0.121710
64,large,fwd_bwd,1,0.116466,0.003474
64,large,fwd_bwd,2,0.111929,0.001958
64,large,fwd_bwd,5,0.115338,0.003633
64,xl,fwd,0,0.078510,0.090285
64,xl,fwd,1,0.048878,0.000875
64,xl,fwd,2,0.049322,0.001334
64,xl,fwd,5,0.048963,0.000561
64,xl,fwd_bwd,0,0.238916,0.114966
64,xl,fwd_bwd,1,0.197105,0.006342
64,xl,fwd_bwd,2,0.201503,0.003237
64,xl,fwd_bwd,5,0.199158,0.003454
64,2.7B,fwd,0,0.103747,0.089203
64,2.7B,fwd,1,0.075490,0.000838
64,2.7B,fwd,2,0.075177,0.000302
64,2.7B,fwd,5,0.076858,0.002671
64,2.7B,fwd_bwd,0,0.312343,0.109075
64,2.7B,fwd_bwd,1,0.281718,0.001687
64,2.7B,fwd_bwd,2,0.282712,0.002044
64,2.7B,fwd_bwd,5,0.282666,0.002248
128,small,fwd,0,0.040154,0.087368
128,small,fwd,1,0.012135,0.000127
128,small,fwd,2,0.012252,0.000195
128,small,fwd,5,0.011753,0.000085
128,small,fwd_bwd,0,0.074307,0.113493
128,small,fwd_bwd,1,0.034738,0.001493
128,small,fwd_bwd,2,0.033528,0.000305
128,small,fwd_bwd,5,0.038258,0.002710
128,medium,fwd,0,0.052280,0.088322
128,medium,fwd,1,0.024000,0.000771
128,medium,fwd,2,0.024016,0.000271
128,medium,fwd,5,0.023948,0.001033
128,medium,fwd_bwd,0,0.117833,0.117129
128,medium,fwd_bwd,1,0.082880,0.007356
128,medium,fwd_bwd,2,0.077281,0.002356
128,medium,fwd_bwd,5,0.076565,0.000476
128,large,fwd,0,0.073610,0.091935
128,large,fwd,1,0.044364,0.000521
128,large,fwd,2,0.044092,0.000122
128,large,fwd,5,0.044406,0.000409
128,large,fwd_bwd,0,0.186866,0.114259
128,large,fwd_bwd,1,0.151318,0.003289
128,large,fwd_bwd,2,0.151868,0.001545
128,large,fwd_bwd,5,0.150039,0.000877
128,xl,fwd,0,0.120313,0.089078
128,xl,fwd,1,0.092172,0.001102
128,xl,fwd,2,0.092994,0.001561
128,xl,fwd,5,0.094030,0.002579
128,xl,fwd_bwd,0,0.340370,0.114245
128,xl,fwd_bwd,1,0.305030,0.001769
128,xl,fwd_bwd,2,0.305143,0.002338
128,xl,fwd_bwd,5,0.305930,0.001189
128,2.7B,fwd,0,0.169549,0.085642
128,2.7B,fwd,1,0.141019,0.003902
128,2.7B,fwd,2,0.141233,0.003803
128,2.7B,fwd,5,0.143334,0.004039
128,2.7B,fwd_bwd,0,0.491173,0.098357
128,2.7B,fwd_bwd,1,0.459770,0.004079
128,2.7B,fwd_bwd,2,0.460498,0.003859
128,2.7B,fwd_bwd,5,0.461282,0.002874
256,small,fwd,0,0.042338,0.087088
256,small,fwd,1,0.014864,0.000196
256,small,fwd,2,0.014773,0.000045
256,small,fwd,5,0.015147,0.001190
256,small,fwd_bwd,0,0.085277,0.116912
256,small,fwd_bwd,1,0.047195,0.001869
256,small,fwd_bwd,2,0.046412,0.000245
256,small,fwd_bwd,5,0.046258,0.000738
256,medium,fwd,0,0.070995,0.090131
256,medium,fwd,1,0.042827,0.000721
256,medium,fwd,2,0.042814,0.000160
256,medium,fwd,5,0.043011,0.000351
256,medium,fwd_bwd,0,0.165774,0.110479
256,medium,fwd_bwd,1,0.130922,0.000751
256,medium,fwd_bwd,2,0.130621,0.001187
256,medium,fwd_bwd,5,0.131369,0.000815
256,large,fwd,0,0.115932,0.086441
256,large,fwd,1,0.088951,0.001154
256,large,fwd,2,0.089137,0.001038
256,large,fwd,5,0.089274,0.001074
256,large,fwd_bwd,0,0.319370,0.107972
256,large,fwd_bwd,1,0.285508,0.001390
256,large,fwd_bwd,2,0.285995,0.000928
256,large,fwd_bwd,5,0.286164,0.000902
256,xl,fwd,0,0.216807,0.086575
256,xl,fwd,1,0.189990,0.004675
256,xl,fwd,2,0.190882,0.004653
256,xl,fwd,5,0.191606,0.003832
256,xl,fwd_bwd,0,0.623748,0.095282
256,xl,fwd_bwd,1,0.592695,0.004486
256,xl,fwd_bwd,2,0.595841,0.006168
256,xl,fwd_bwd,5,0.596630,0.001780
256,2.7B,fwd,0,0.323941,0.083778
256,2.7B,fwd,1,0.297228,0.006581
256,2.7B,fwd,2,0.297419,0.006149
256,2.7B,fwd,5,0.297752,0.004652
512,small,fwd,0,0.062126,0.087264
512,small,fwd,1,0.034565,0.000113
512,small,fwd,2,0.034379,0.000155
512,small,fwd,5,0.034423,0.000097
512,small,fwd_bwd,0,0.145511,0.105478
512,small,fwd_bwd,1,0.112058,0.000768
512,small,fwd_bwd,2,0.111758,0.000427
512,small,fwd_bwd,5,0.112037,0.000736
512,medium,fwd,0,0.135791,0.085180
512,medium,fwd,1,0.108867,0.000615
512,medium,fwd,2,0.109110,0.001383
512,medium,fwd,5,0.109025,0.000759
512,medium,fwd_bwd,0,0.368189,0.100778
512,medium,fwd_bwd,1,0.337203,0.000915
512,medium,fwd_bwd,2,0.337493,0.000879
512,medium,fwd_bwd,5,0.337818,0.000950
512,large,fwd,0,0.258420,0.086459
512,large,fwd,1,0.230838,0.001274
512,large,fwd,2,0.230896,0.001236
512,large,fwd,5,0.230897,0.000686
512,large,fwd_bwd,0,0.729451,0.103833
512,large,fwd_bwd,1,0.697426,0.000791
512,large,fwd_bwd,2,0.698274,0.000493
512,large,fwd_bwd,5,0.698308,0.000673
512,xl,fwd,0,0.478459,0.084575
512,xl,fwd,1,0.451668,0.001374
512,xl,fwd,2,0.452161,0.001373
512,xl,fwd,5,0.451582,0.000804
512,2.7B,fwd,0,0.649885,0.083907
512,2.7B,fwd,1,0.625403,0.001768
512,2.7B,fwd,2,0.625344,0.001668
512,2.7B,fwd,5,0.625304,0.001046
1024,small,fwd,0,0.131950,0.084609
1024,small,fwd,1,0.105075,0.000569
1024,small,fwd,2,0.104905,0.000260
1024,small,fwd,5,0.104908,0.000222
1024,small,fwd_bwd,0,0.364430,0.111113
1024,small,fwd_bwd,1,0.329478,0.000962
1024,small,fwd_bwd,2,0.328981,0.000533
1024,small,fwd_bwd,5,0.328949,0.000176
1024,medium,fwd,0,0.330555,0.085280
1024,medium,fwd,1,0.303847,0.000494
1024,medium,fwd,2,0.303521,0.000264
1024,medium,fwd,5,0.304498,0.000667
1024,medium,fwd_bwd,0,0.962187,0.104953
1024,medium,fwd_bwd,1,0.928325,0.000588
1024,medium,fwd_bwd,2,0.928988,0.000505
1024,medium,fwd_bwd,5,0.929716,0.001987
1024,large,fwd,0,0.636553,0.082564
1024,large,fwd,1,0.609571,0.000492
1024,large,fwd,2,0.609532,0.000356
1024,large,fwd,5,0.610239,0.000544
1024,xl,fwd,0,1.170741,0.083898
1024,xl,fwd,1,1.146352,0.001157
1024,xl,fwd,2,1.146856,0.000882
1024,xl,fwd,5,1.147192,0.000939
1024,2.7B,fwd,0,1.514009,0.073852
1024,2.7B,fwd,1,1.492448,0.003594
1024,2.7B,fwd,2,1.493438,0.002157
1024,2.7B,fwd,5,1.493926,0.001399
